2020 General Election Results,Utah House - District 1,,,Utah House - District 11,,Utah House - District 12,,Utah House District - 28,,Utah House District - 29,,,Utah House District - 53,,Utah House District -54,,Utah House District - 55,Utah House District - 58 ,,,Utah House District - 68,,,Utah House District - 69,Utah House District - 70,,,Utah House District - 71,Utah House District - 73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Sherry Phipps                            (CON),Joel Ferry                 (REP),Amber Hardy                  (DEM),Jason M. Allen                (DEM),Kelly B. Miles                  (REP),Mike Schultz                 (REP),Shawn Ferriola                     (UUP),Brian S. King                   (DEM),Carol L. Hunter               (REP),Kerry M Wayne                  (DEM),Matt Gwynn                   (REP),Tanner Greenhalgh               (UUP),Cheryl Butler              (DEM),Kera Birkeland                 (REP),Mike Kohler                 (REP),Meaghan Miller           (DEM),Scott H. Chew                   (REP),J. Homer Morrill              (UUP),Russell Garn Hatch        (CON),Steven J. Lund                  (REP),Kirk D Pearson               (CON),Merrill Nelson              (REP),Amiee O Finster             (DEM),Christine F. Watkins                    (REP),Jessica O'Leary                 (DEM),Carl Albrecht                (REP),L.S. Brown                  (Write-in),Brad Last                            (REP),Phil Lyman                          (REP)
Beaver,,,,,,,,,,,,,,,,,,,,,25,370,130,,,,,,"2,109"
Box Elder,"1,354","14,198","2,388",,,,,,,"1,319","6,499",374,,,,,,,,,,,,,,,,,
Cache,48,900,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon,,,,,,,,,,,,,,,,,,,,,,,,"7,961",,,,,
Daggett,,,,,,,,,,,,,108,463,,,,,,,,,,,,,,,
Davis,,,,"1,806","3,336","1,227",361,,,,,,,,,,,,,,,,,,,,,,
Duchesne,,,,,,,,,,,,,163,"1,468",,,"2,375",,,,,,,"3,507",,,,,
Emery,,,,,,,,,,,,,,,,,,,,,,,,314,484,"3,890",0,,
Garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,202"
Grand,,,,,,,,,,,,,,,,,,,,,,,,"1,295","1,717","1,349",4,,
Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,745",
Juab,,,,,,,,,,,,,,,,,,170,446,"4,494",34,296,116,,,,,,
Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,102"
Millard,,,,,,,,,,,,,,,,,,,,,409,"5,063",513,,,,,,
Morgan,,,,,,,,,,,,,"1,418","4,959",,,,,,,,,,,,,,,
Piute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786
Rich,,,,,,,,,,,,,216,"1,105",,,,,,,,,,,,,,,
Salt Lake,,,,,,,,"15,138","5,933",,,,,,,,,,,,,,,,,,,,
San Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,914"
Sanpete,,,,,,,,,,,,,,,,,,639,"1,361","9,907",,,,,18,161,0,,
Sevier,,,,,,,,,,,,,,,,,,,,,,,,,993,"9,088",6,,109
Summit,,,,,,,,"1,278",470,,,,"6,752","7,147","2,846","6,304",,,,,,,,,,,,,
Tooele,,,,,,,,,,,,,,,,,,,,,"1,430","10,110","2,542",,,,,,
Uintah,,,,,,,,,,,,,,,,,"13,399",,,,,,,,,,,,
Utah,,,,,,,,,,,,,,,,,,,,,22,197,33,,,,,,
Wasatch,,,,,,,,,,,,,,,"11,429","5,695",,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,627",
Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,296"
Weber,,,,"5,432","7,660","12,251","3,622",,,"2,736","10,953",317,,,,,,,,,,,,,,,,,
TOTAL,"1,402","15,098","2,514","7,238","10,996","13,478","3,983","16,416","6,403","4,055","17,452",691,"8,657","15,142","14,275","11,999","15,774",809,"1,807","14,401","1,920","16,036","3,334","13,077","3,212","14,488",10,"20,372","14,518"
Percentage,7.4%,79.4%,13.2%,39.7%,60.3%,77.2%,22.8%,71.9%,28.1%,18.3%,78.6%,3.1%,36.4%,63.6%,54.3%,45.7%,100.0%,4.8%,10.6%,84.6%,9.0%,75.3%,15.7%,100.0%,18.1%,81.8%,0.1%,100.0%,100.0%
Contest Sum,"19,014",,,"18,234",,"17,461",,"22,819",,"22,198",,,"23,799",,"26,274",,"15,774","17,017",,,"21,290",,,"13,077","17,710",,,"20,372","14,518"
