~,Utah House - District 2,Utah House - District 3,,Utah House - District 4,,Utah House - District 5,,Utah House - District 6,,Utah House - District 7,,Utah House District 8,,Utah House - District 9,,Utah House - District 10,,Utah House - District 13,,Utah House - District 14,,Utah House - District 15,,Utah House - District 16,,,Utah House - District 17,,,Utah House - District 18,,Utah House - District 19,,Utah House - District 20,,Utah House - District 21,,Utah House - District 22,,Utah House - District 23,,Utah House - District 24,Utah House - District 25,,,Utah House - District 26,Utah House - District 27,Utah House - District 30,,Utah House - District 31,,Utah House - District 32,,Utah House - District 33,,Utah House - District 34,,Utah House - District 35,,,Utah House - District 36,,,Utah House - District 37,,Utah House - District 38,,Utah House - District 39,,Utah House - District 40,,,Utah House - District 41,,,Utah House - District 42,,,Utah House - District 43,,,Utah House - District 44,,,Utah House - District 45,,Utah House - District 46,,,Utah House - District 47,,Utah House - District 48,,,Utah House - District 49,,Utah House - District 50,,Utah House - District 51,,Utah House - District 52,,Utah House - District 56,,Utah House - District 57,Utah House - District 59,,,Utah House - District 60,,,Utah House - District 61,,Utah House - District 62,,Utah House - District 63,,,Utah House - District 64,Utah House - District 65,Utah House - District 66,Utah House - District 67,Utah House - District 72,,,Utah House - District 74,,Utah House - District 75,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Jefferson R. Moss                         (REP),Mike Peterson                 (REP),Holly A. Gunther                (DEM),Mary K. DaSilva              (DEM),Dan Johnson                (REP),Lauren Abell              (DEM),Casey Snider                   (REP),Christopher L. Rawlins                             (UUP),Cory Maloy                 (REP),Grant Protzman                (DEM),Ryan D. Wilcox               (REP),Steve Waldrip                (REP),Oscar Landon Mata           (DEM),Steve Olsen                 (DEM),Calvin Musselman         (REP),"LaWanna ""Lou"" Shurtliff         (DEM)",Travis Campbell                (REP),Tab Lyn Uno                 (DEM),Paul Ray                      (REP),Olivia Jaramillo                   (DEM),Karianne Lisonbee          (REP),Brad Wilson               (REP),Ammon Gruwell          (UUP),Brent Zimmerman        (LIB),Cheryl Nunn              (DEM),Steve Handy              (REP),Jeannette Proctor        (CON),Stewart E. Barlow           (REP),Eric Last                     (DEM),Katherine Dawnae Nicholson                   (DEM),Timothy D. Hawkes        (REP),Raymond P Ward        (REP),Cameron Dransfield     (CON),Melissa Garff Ballard      (REP),Phil Graves                          (DEM),Douglas Sagers              (REP),Stormy D. Simon             (DEM),Clare Collard           (DEM),Anthony E. Loubet         (REP),Bradley A. Borden                  (REP),Sandra Hollins              (DEM),Jen Dailey-Provost                      (DEM),Joel K. Briscoe           (DEM),Cabot W. Nelson         (UUP),Karel Joy McDonough         (REP),Angela Romero                                (DEM),Brady Brammer                          (REP),Mike Winder             (REP),"Robert S. Burch, Jr.       (DEM)",Elizabeth L. Weight         (DEM),Matt Macpherson         (REP),Cindie Quintana         (REP),Suzanne Harrison                  (DEM),Fatima Dirie              (DEM),Craig Hall                    (REP),Karen Kwan               (DEM),David Young              (REP),Mark A. Wheatley         (DEM),Adam C. Bean          (UUP),Luke Gustafson         (REP),Nishan Beglarian           (CON),Lisa Bagley               (REP),Doug Owens             (DEM),Maryann Christensen    (REP),Carol Spackman Moss (DEM),Ashlee Matthews              (DEM),Eric Hutchings         (REP),Lynette Wendel       (DEM),Jim Dunnigan          (REP),Stephanie Pitcher (DEM),Jeremiah K Clark        (REP),David A Else         (Write-in),Mark A. Strong           (REP),Wendy Garvin           (DEM),David M Lundgren        (UUP),Samuel Winkler           (DEM),Ryan Boudwin              (UUP),Jordan Teuscher                (REP),Jefferson Bardin          (UUP),Cheryl Acton           (REP),Diane Lewis            (DEM),Kyle Bird                      (REP),Andrew Stoddard         (DEM),John Jackson           (UUP),Steve Eliason             (REP),Wendy Davis            (DEM),Lee Anne Walker                  (LIB),Gay Lynn Bennion                (DEM),Jaren L Davis              (REP),Scott Bell                         (DEM),Steve Christiansen     (REP),Joseph K. Shelton                       (UUP),Keven J. Stratton                (REP),Lucas Ramirez           (DEM),Siamak Khadjenoury                (DEM),Robert Spendlove           (REP),Susan Pulsipher                      (REP),Emily C. Hayes          (DEM),Jeff Stenquist                 (REP),David Hunt                        (DEM),Candice B. Pierucci                        (REP),Catherine Voutaz             (DEM),Kate Walters                                    (UUP),Kay J. Christofferson                     (REP),Jon Hawkins                                  (REP),Val L. Peterson        (REP),Catherine Eslinger        (UUP),Will Christensen (Write-in),Tommy Williams       (IAP),Nelson Abbott              (REP),Christine Heath    (UUP),Nils Bergeson        (UUP),Marsha Judkins           (REP),Travis M. Seegmiller    (REP),Narris Cox                  (Write-in),Austin Simcox         (UUP),Adam Robertson       (REP),Jenna Rakuita       (DEM),Norm Thurston      (REP),Francis D. Gibson (REP),Jefferson S. Burton (REP),Doug Welton           (REP),Lonnie White Jr     (DEM),Rex P Shipp               (REP),Piper Manesse      (UUP),Lowry Snow                 (REP),Kenzie Carter         (DEM),Walt Brooks             (REP),Rebecca Sullivan (DEM)
Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache,,"15,197","5,415","5,595","8,196","4,068","15,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis,,,,,,,,,,,,,,,,,,"6,302","10,798","5,462","10,336","17,965","5,301","1,361","5,272","10,890","1,077","13,881","5,214","6,431","17,281","15,870","3,876","13,828","6,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
